table: 24E10B40
	helicopter_snipers_drills | table: 53C62B20
				_network_execute | true
				_id | 101145
			101147 | table: 53C63F80
				__name | ElementOperator
				_values | table: 53C62100
					enabled | true
					on_executed | table: 53C62140 (empty)
					elements | table: 53C62120
						1 | 101145
					operation | remove
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1325, 4300, 2078.82)
					execute_on_startup | false
					trigger_times | 0
					debug | false
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53C63FA0 (empty)
				_editor_name | logic_operator_019
				_element_group | ElementOperator
				_id | 101147
			101149 | table: 53D80040
				__name | ElementSpawnEnemyDummy
				_values | table: 53C62160
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | false
					trigger_times | 0
					position | Vector3(1200, 4600, 1987.98)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					spawn_action | repel_vert
					on_executed | table: 53C62180
						1 | table: 53C621A0
							delay | 0
							id | 101154
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/sniper/sniper
				_enemy_name | Idstring(@ID2e46807f6e933907@) --units/characters/enemies/sniper/sniper
				_id | 101149
				_units | table: 53D800E0 (empty)
				_events | table: 53D80100 (empty)
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53D80060 (empty)
				_editor_name | ai_spawn_enemy_091
				_element_group | ElementSpawnEnemyDummy
			101151 | table: 53D80220
				__name | ElementSpawnEnemyDummy
				_values | table: 53C62260
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | false
					trigger_times | 0
					position | Vector3(1100, 4525, 1987.98)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					spawn_action | repel_wall
					on_executed | table: 53C62280
						1 | table: 53C622A0
							delay | 0
							id | 101152
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/sniper/sniper
				_enemy_name | Idstring(@ID2e46807f6e933907@) --units/characters/enemies/sniper/sniper
				_id | 101151
				_units | table: 53D802C0 (empty)
				_events | table: 53D802E0 (empty)
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53D80240 (empty)
				_editor_name | ai_spawn_enemy_093
				_element_group | ElementSpawnEnemyDummy
			101153 | table: 53D803E0
				__name | ElementSpecialObjective
				_values | table: 53C62360
					so_action | AI_sniper
					on_executed | table: 53C62380 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | true
					search_position | Vector3(400, 4000, 2000)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 16348
					rotation | Rotation(90, -0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | -1
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | false
					base_delay | 0
					align_rotation | true
					align_position | true
					interrupt_on | none
					position | Vector3(325, 2750, 2000)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53D80400 (empty)
				_editor_name | point_special_objective_017
				_events | table: 53D80460 (empty)
				_id | 101153
			101155 | table: 53D80540
				__name | MissionScriptElement
				_values | table: 53C62460
					enabled | true
					on_executed | table: 53C62480
						1 | table: 53C624A0
							delay | 0
							id | 101156
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					position | Vector3(800, 4050, 2309.74)
					execute_on_startup | false
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53D80560 (empty)
				_editor_name | logic_link_032
				_element_group | MissionScriptElement
				_id | 101155
			101157 | table: 53D807E0
				__name | MissionScriptElement
				_values | table: 53C62580
					enabled | true
					on_executed | table: 53C625A0
						1 | table: 53C625C0
							delay | 1
							id | 101151
						2 | table: 53C625E0
							delay | 0
							id | 101149
						3 | table: 53C62600
							delay | 2
							id | 101150
						4 | table: 53C62640
							delay | 0
							id | 101159
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(950, 4425, 2200)
					execute_on_startup | false
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53D80800 (empty)
				_editor_name | logic_link_033
				_element_group | MissionScriptElement
				_id | 101157
			101144 | table: 53C63D80
				__name | ElementOperator
				_values | table: 53C61F40
					enabled | true
					on_executed | table: 53C61F80 (empty)
					elements | table: 53C61F60
						1 | 101145
					operation | add
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(500, 5925, 2201.59)
					execute_on_startup | false
					trigger_times | 0
					debug | false
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53C63DA0 (empty)
				_editor_name | logic_operator_018
				_element_group | ElementOperator
				_id | 101144
			101146 | table: 53C63EC0
				__name | MissionScriptElement
				_values | table: 53C62080
					enabled | true
					on_executed | table: 53C620A0
						1 | table: 53C620C0
							delay | 2
							id | 101147
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1100, 4125, 2078.82)
					execute_on_startup | false
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53C63EE0 (empty)
				_editor_name | logic_link_031
				_element_group | MissionScriptElement
				_id | 101146
			101159 | table: 53D80860
				__name | ElementUnitSequence
				_values | table: 53C62680
					enabled | true
					on_executed | table: 53C626A0 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(1025, 4675, 2200)
					execute_on_startup | false
					trigger_list | table: 53C626C0 (empty)
				_id | 101159
				_unit | [Unit '@ID67768423451632b3@' Vector3(1025, 4675, 2200) 53AB1E00] --core/units/run_sequence_dummy/run_sequence_dummy
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53D80880 (empty)
				_editor_name | func_sequence_013
				_element_group | ElementUnitSequence
				_enabled_by_default | true
			101150 | table: 53D80140
				__name | ElementSpawnEnemyDummy
				_values | table: 53C621E0
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | false
					trigger_times | 0
					position | Vector3(1175, 4425, 1987.98)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					spawn_action | repel_vert
					on_executed | table: 53C62200
						1 | table: 53C62220
							delay | 0
							id | 101153
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/sniper/sniper
				_enemy_name | Idstring(@ID2e46807f6e933907@) --units/characters/enemies/sniper/sniper
				_id | 101150
				_units | table: 53D801E0 (empty)
				_events | table: 53D80200 (empty)
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53D80160 (empty)
				_editor_name | ai_spawn_enemy_092
				_element_group | ElementSpawnEnemyDummy
			101156 | table: 53D805E0
				__name | ElementUnitSequence
				_values | table: 53C624E0
					enabled | true
					on_executed | table: 53C62500
						1 | table: 53C62520
							delay | 16
							id | 101157
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(825, 4225, 2209.51)
					execute_on_startup | false
					trigger_list | table: 53C62540 (empty)
				_id | 101156
				_unit | [Unit '@ID67768423451632b3@' Vector3(825, 4225, 2209.51) 53AB1980] --core/units/run_sequence_dummy/run_sequence_dummy
				_mission_script | table: 53C62B20 (repeat)
				_values_extensions | table: 53D80600 (empty)
				_editor_name | func_sequence_012
				_element_group | ElementUnitSequence
				_enabled_by_default | true
		_sorted | table: 53C62B40 (empty)
		_updators | table: 53D805C0 (empty)
		_startup_elements_to_sync | table: 53D80B20 (empty)
		_t | 0.45972940325737
		_element_groups | table: 53C63BC0
			ElementOperator | table: 53C63E00
				1 | table: 53C63D80 (repeat)
				2 | table: 53C63F80 (repeat)
			ElementSpawnEnemyDummy | table: 53D80120
				1 | table: 53D80040 (repeat)
				2 | table: 53D80140 (repeat)
				3 | table: 53D80220 (repeat)
			ElementUnitSequence | table: 53D807C0
				1 | table: 53D805E0 (repeat)
				2 | table: 53D80860 (repeat)
			ElementSpecialObjective | table: 53D803C0
				1 | table: 53D80320 (repeat)
				2 | table: 53D803E0 (repeat)
				3 | table: 53D80480 (repeat)
			ElementScenarioEvent | table: 53C63EA0
				1 | table: 53C63E20 (repeat)
			MissionScriptElement | table: 53C63D20
				1 | table: 53C63CA0 (repeat)
				2 | table: 53C63EC0 (repeat)
				3 | table: 53D80540 (repeat)
				4 | table: 53D807E0 (repeat)
				5 | table: 53D80A40 (repeat)
		_activate_on_parsed | false
		_elements_to_sync | table: 53D80AE0
			_ids | table: 53D80B00 (empty)
	default | table: 53D80B40
		_name | default
		_save_states | table: 541D1E60
			100329 | true
			101861 | true
			101865 | true
			100339 | true
			101875 | true
			101628 | true
			101640 | true
			101642 | true
			101648 | true
			101650 | true
			101652 | true
			101654 | true
			100387 | true
			102180 | true
			101672 | true
			100144 | true
			101933 | true
			101939 | true
			101941 | true
			100925 | true
			100162 | true
			102208 | true
			101702 | true
			101706 | true
			101712 | true
			101716 | true
			101718 | true
			101720 | true
			101979 | true
			101983 | true
			100712 | true
			100716 | true
			101993 | true
			101995 | true
			100467 | true
			102001 | true
			102007 | true
			101254 | true
			100244 | true
			100246 | true
			100248 | true
			100250 | true
			101545 | true
			101547 | true
			101549 | true
			100531 | true
			102067 | true
			101561 | true
			101826 | true
			101828 | true
			101830 | true
			100557 | true
			101834 | true
			101836 | true
			101838 | true
			101840 | true
			100065 | true
			100577 | true
			100071 | true
			101860 | true
			101862 | true
			101866 | true
			101629 | true
			101641 | true
			101649 | true
			101651 | true
			101653 | true
			101655 | true
			100388 | true
			101667 | true
			102181 | true
			100908 | true
			101930 | true
			100149 | true
			101936 | true
			100924 | true
			101705 | true
			101964 | true
			101713 | true
			101715 | true
			101717 | true
			101719 | true
			101986 | true
			101988 | true
			101480 | true
			100717 | true
			101484 | true
			101851 | true
			101905 | true
			101675 | true
			102050 | true
			101972 | true
			102121 | true
			101759 | true
			101506 | true
			101763 | true
			100075 | true
			101674 | true
			101832 | true
			101396 | true
			100243 | true
			100245 | true
			100247 | true
			100249 | true
			101526 | true
			101294 | true
			101482 | true
			100465 | true
			100159 | true
			101536 | true
			101538 | true
			101540 | true
			102052 | true
			101544 | true
			101816 | true
			101293 | true
			100807 | true
			100022 | true
			100996 | true
			101829 | true
			101831 | true
			101815 | true
			100070 | true
			100456 | true
			100841 | true
			100486 | true
			101825 | true
			101827 | true
			101319 | true
			101576 | true
			101833 | true
			101835 | true
			101837 | true
			101839 | true
			101841 | true
			101843 | true
			101731 | true
			101847 | true
			101849 | true
			100066 | true
			100068 | true
			100325 | true
			101508 | true
		_elements | table: 54081AE0
			101899 | table: 54282A60
				__name | ElementSpecialObjective
				_values | table: 53CB23A0
					so_action | so_slide_under_low_obj
					on_executed | table: 53CB23C0 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-555.167, -27304.5, 5724.42)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 255956
					rotation | Rotation(8.39331, 2.3791, -6.67011e-008)
					pose | none
					repeatable | false
					enabled | true
					interval | 21
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-475, -28000, 5715.41)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54282A80 (empty)
				_editor_name | point_special_objective_089
				_events | table: 54282AE0 (empty)
				_id | 101899
			101915 | table: 54283160
				__name | ElementSpecialObjective
				_values | table: 53CB2A00
					so_action | so_slide_under_low_obj
					on_executed | table: 53CB2A20 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-1771, -34305.4, 5594.35)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 255956
					rotation | Rotation(-22.2864, 0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | 16
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-2048, -34990, 5581.07)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54283180 (empty)
				_editor_name | point_special_objective_098
				_events | table: 542831E0 (empty)
				_id | 101915
			101931 | table: 542906C0
				__name | ElementToggle
				_values | table: 53CB3B60
					enabled | true
					on_executed | table: 53CB3BA0 (empty)
					elements | table: 53CB3B80
						1 | 101930
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1300, -13025, 6100)
					execute_on_startup | false
					toggle | on
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542906E0 (empty)
				_editor_name | logic_toggle_039
				_element_group | ElementToggle
				_id | 101931
			101947 | table: 54291180
				__name | ElementTeammateComment
				_values | table: 53CF0440
					enabled | true
					on_executed | table: 53CF0460
						1 | table: 53CF0480
							delay | 0
							id | 101944
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					use_instigator | false
					position | Vector3(-3550, -22200, 7175)
					execute_on_startup | false
					radius | 2000
					close_to_element | true
					comment | bri_28
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542911A0 (empty)
				_editor_name | point_teammate_comment_035
				_element_group | ElementTeammateComment
				_id | 101947
			101963 | table: 54291F20
				__name | ElementTeammateComment
				_values | table: 53CF10E0
					enabled | true
					on_executed | table: 53CF1100 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					use_instigator | false
					position | Vector3(-2150, -22100, 7150)
					execute_on_startup | false
					radius | 0
					close_to_element | true
					comment | bri_41
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54291F40 (empty)
				_editor_name | point_teammate_comment_048
				_element_group | ElementTeammateComment
				_id | 101963
			101979 | table: 54292E40
				__name | ElementAreaTrigger
				_values | table: 53CF1B80
					on_executed | table: 53CF1BA0
						1 | table: 53CF1BC0
							delay | 0
							id | 101980
						2 | table: 53CF1BE0
							delay | 0
							id | 101982
					trigger_times | 1
					execute_on_restart | false
					spawn_unit_elements | table: 53CF1C00 (empty)
					amount | 1
					interval | 0.10000000149012
					enabled | false
					debug | false
					instigator | player
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					width | 6794.759765625
					position | Vector3(-5850, -22175, 6825)
					height | 500
					depth | 2010.6899414063
					trigger_on | on_enter
					execute_on_startup | false
				_id | 101979
				_shape | table: 54292EE0
					_type | box_middle
					_name | false
					_bounding_radius_sq | 34626572
					_position | Vector3(-5850, -22175, 6825)
					_rotation | Rotation(0, 0, -0)
					_properties | table: 54292F00
						height | 500
						depth | 2010.6899414063
						width | 6794.759765625
					_center_pos | Vector3(-5850, -22175, 6825)
				_element_group | ElementAreaTrigger
				_last_project_amount_all | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54292E60 (empty)
				_editor_name | trigger_area_038
				_inside | table: 54292F20 (empty)
				_enabled_by_default | false
			101995 | table: 54293900
				__name | ElementAreaTrigger
				_values | table: 53CF2300
					on_executed | table: 53CF2320
						1 | table: 53CF2340
							delay | 0
							id | 101997
					trigger_times | 1
					execute_on_restart | false
					spawn_unit_elements | table: 53CF2360 (empty)
					amount | 1
					interval | 0.10000000149012
					enabled | false
					debug | false
					instigator | player
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					width | 2010.6899414063
					position | Vector3(-3325, -22200, 8295.48)
					height | 5709.8901367188
					depth | 1689.6600341797
					trigger_on | on_enter
					execute_on_startup | false
				_id | 101995
				_shape | table: 542939A0
					_type | box_middle
					_name | false
					_bounding_radius_sq | 24452134
					_position | Vector3(-3325, -22200, 8295.48)
					_rotation | Rotation(0, 0, -0)
					_properties | table: 542939C0
						height | 5709.8901367188
						depth | 1689.6600341797
						width | 2010.6899414063
					_center_pos | Vector3(-3325, -22200, 8295.48)
				_element_group | ElementAreaTrigger
				_last_project_amount_all | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54293920 (empty)
				_editor_name | trigger_area_043
				_inside | table: 542939E0 (empty)
				_enabled_by_default | false
			102011 | table: 542D0320
				__name | ElementTeammateComment
				_values | table: 53CF2B60
					enabled | true
					on_executed | table: 53CF2B80 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					use_instigator | false
					position | Vector3(-1400, -4675, 5875)
					execute_on_startup | false
					radius | 0
					close_to_element | false
					comment | g23
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D0340 (empty)
				_editor_name | point_teammate_comment_071
				_element_group | ElementTeammateComment
				_id | 102011
			102059 | table: 542D1D20
				__name | ElementDialogue
				_values | table: 53D40020
					enabled | true
					on_executed | table: 53D40040
						1 | table: 53D40060
							delay | 20
							id | 101475
					debug | false
					dialogue | bri_ban_21
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1650, -19275, 6000)
					execute_on_startup | false
					trigger_times | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D1D40 (empty)
				_editor_name | bri_ban_21_remind
				_element_group | ElementDialogue
				_id | 102059
			102075 | table: 542D27C0
				__name | ElementRandom
				_values | table: 53D40820
					enabled | true
					on_executed | table: 53D40840
						1 | table: 53D40860
							delay | 0
							id | 102074
						2 | table: 53D40880
							delay | 0
							id | 102069
					debug | false
					ignore_disabled | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					amount | 1
					execute_on_startup | false
					position | Vector3(-1875, -9925, 6100)
				_element_group | ElementRandom
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D27E0 (empty)
				_editor_name | logic_random_022
				_original_on_executed | table: 542D2840
					1 | table: 53D40860 (repeat)
					2 | table: 53D40880 (repeat)
				_id | 102075
			102091 | table: 542D30C0
				__name | ElementDialogue
				_values | table: 53D41060
					enabled | true
					on_executed | table: 53D41080 (empty)
					debug | false
					dialogue | bri_ban_47
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-2075, -45425, 5700)
					execute_on_startup | false
					trigger_times | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D30E0 (empty)
				_editor_name | func_dialogue_002
				_element_group | ElementDialogue
				_id | 102091
			102107 | table: 542D3A60
				__name | ElementDialogue
				_values | table: 53D41800
					enabled | true
					on_executed | table: 53D41820 (empty)
					debug | false
					dialogue | bri_ban_11
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-4925, -21725, 6400)
					execute_on_startup | false
					trigger_times | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D3A80 (empty)
				_editor_name | bri_ban_11
				_element_group | ElementDialogue
				_id | 102107
			100076 | table: 54082C60
				__name | ElementPlayEffect
				_values | table: 53B13600
					enabled | true
					base_time | 0
					debug | false
					effect | effects/particles/explosions/bridge_explosion
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					random_time | 0
					position | Vector3(-1425, -675, 5645.48)
					execute_on_startup | false
					screen_space | false
					on_executed | table: 53B13620
						1 | table: 53B13640
							delay | 0
							id | 101288
					max_amount | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54082C80 (empty)
				_editor_name | env_effect_play_001
				_element_group | ElementPlayEffect
				_id | 100076
			100108 | table: 540837C0
				__name | ElementSpawnEnemyDummy
				_values | table: 53B13B20
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-2200, -4875, 5756.39)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-180, 0.395469, 6.57422e-006)
					spawn_action | none
					on_executed | table: 53B13B40 (empty)
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/cop/cop
				_enemy_name | Idstring(@ID1c26f0eb97521d88@) --units/characters/enemies/cop/cop
				_id | 100108
				_units | table: 54083860 (empty)
				_events | table: 54083880 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540837E0 (empty)
				_editor_name | ai_spawn_enemy_013
				_element_group | ElementSpawnEnemyDummy
			100124 | table: 54083F80
				__name | MissionScriptElement
				_values | table: 53B30100
					enabled | true
					on_executed | table: 53B30120
						1 | table: 53B30140
							delay | 0
							id | 100131
						2 | table: 53B30160
							delay | 0
							id | 100139
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(2800, -10000, 8050)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C00E0 (empty)
				_editor_name | logic_link_006
				_element_group | MissionScriptElement
				_id | 100124
			100140 | table: 540C0B60
				__name | MissionScriptElement
				_values | table: 53B30B20
					enabled | true
					on_executed | table: 53B30B40
						1 | table: 53B30B60
							delay | 26
							id | 100150
						2 | table: 53B30B80
							delay | 0
							id | 100149
						3 | table: 53B30BA0
							delay | 14
							id | 100267
						4 | table: 53B30BE0
							delay | 40
							id | 100270
						5 | table: 53B30C00
							delay | 15
							id | 101975
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-50, -9350, 8050)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C0B80 (empty)
				_editor_name | logic_link_013
				_element_group | MissionScriptElement
				_id | 100140
			100156 | table: 540C1BA0
				__name | ElementSpawnEnemyDummy
				_values | table: 53B317A0
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-2144.24, -7660.29, 5777.21)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-135, 0, -0)
					spawn_action | repel_vert
					on_executed | table: 53B317C0
						1 | table: 53B317E0
							delay | 0
							id | 100565
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/swat/swat
				_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
				_id | 100156
				_units | table: 540C1C40 (empty)
				_events | table: 540C1C60 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C1BC0 (empty)
				_editor_name | ai_spawn_enemy_029
				_element_group | ElementSpawnEnemyDummy
			100188 | table: 540C3240
				__name | ElementSpecialObjective
				_values | table: 53B32840
					on_executed | table: 53B32860 (empty)
					path_style | coarse
					execute_on_restart | false
					use_instigator | false
					patrol_path | patrol_escort_1
					execute_on_startup | false
					pose | none
					repeatable | false
					enabled | true
					debug | false
					access_flag_version | 1
					follow_up_id | 101626
					path_haste | run
					rotation | Rotation(-90, 0, -0)
					base_chance | 1
					interrupt_on | none
					position | Vector3(-3075, -7550, 5775)
					chance_inc | 0
					SO_access | 262144
					so_action | AI_escort
					search_distance | 0
					trigger_times | 0
					trigger_on | none
					search_position | Vector3(-3075, -7550, 5775)
					base_delay | 0
					align_rotation | true
					align_position | true
					scan | true
					interval | -1
					path_stance | none
					is_navigation_link | false
					attitude | avoid
					ai_group | escort_guy_2
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C3260 (empty)
				_editor_name | point_special_objective_008
				_events | table: 540C32C0 (empty)
